customer_id,age,annual_income,loyalty_score,country,segment,acquisition_channel,signup_date
CUST-00001,18,28000,35.0,Singapore,starter,organic,2024-06-01
CUST-00002,19,29750,36.7,Malaysia,growth,ads,2024-06-04
CUST-00003,20,31500,38.4,Indonesia,enterprise,referral,2024-06-07
CUST-00004,21,33250,40.1,Thailand,starter,event,2024-06-10
CUST-00005,22,35000,41.8,Vietnam,growth,organic,2024-06-13
CUST-00006,23,36750,43.5,Singapore,enterprise,ads,2024-06-16
CUST-00007,24,38500,45.2,Malaysia,starter,referral,2024-06-19
CUST-00008,25,40250,46.9,Indonesia,growth,event,2024-06-22
CUST-00009,26,42000,48.6,Thailand,enterprise,organic,2024-06-25
CUST-00010,27,43750,50.3,Vietnam,starter,ads,2024-06-28
CUST-00011,28,45500,52.0,Singapore,growth,referral,2024-07-01
CUST-00012,29,47250,53.7,Malaysia,enterprise,event,2024-07-04
CUST-00013,30,49000,55.4,Indonesia,starter,organic,2024-07-07
CUST-00014,31,50750,57.1,Thailand,growth,ads,2024-07-10
CUST-00015,32,52500,58.8,Vietnam,enterprise,referral,2024-07-13
CUST-00016,33,54250,60.5,Singapore,starter,event,2024-07-16
CUST-00017,34,56000,62.2,Malaysia,growth,organic,2024-07-19
CUST-00018,35,57750,63.9,Indonesia,enterprise,ads,2024-07-22
CUST-00019,36,59500,65.6,Thailand,starter,referral,2024-07-25
CUST-00020,37,61250,67.3,Vietnam,growth,event,2024-07-28
CUST-00021,38,63000,69.0,Singapore,enterprise,organic,2024-07-31
CUST-00022,39,64750,70.7,Malaysia,starter,ads,2024-08-03
CUST-00023,40,66500,72.4,Indonesia,growth,referral,2024-08-06
CUST-00024,41,68250,74.1,Thailand,enterprise,event,2024-08-09
CUST-00025,42,70000,75.8,Vietnam,starter,organic,2024-08-12
CUST-00026,43,71750,77.5,Singapore,growth,ads,2024-08-15
CUST-00027,44,73500,79.2,Malaysia,enterprise,referral,2024-08-18
CUST-00028,45,75250,80.9,Indonesia,starter,event,2024-08-21
CUST-00029,46,77000,82.6,Thailand,growth,organic,2024-08-24
CUST-00030,47,78750,84.3,Vietnam,enterprise,ads,2024-08-27
CUST-00031,48,80500,86.0,Singapore,starter,referral,2024-08-30
CUST-00032,49,28000,87.7,Malaysia,growth,event,2024-09-02
CUST-00033,50,29750,89.4,Indonesia,enterprise,organic,2024-09-05
CUST-00034,51,31500,91.1,Thailand,starter,ads,2024-09-08
CUST-00035,52,33250,92.8,Vietnam,growth,referral,2024-09-11
CUST-00036,53,35000,94.5,Singapore,enterprise,event,2024-09-14
CUST-00037,54,36750,36.2,Malaysia,starter,organic,2024-09-17
CUST-00038,55,38500,37.9,Indonesia,growth,ads,2024-09-20
CUST-00039,56,40250,39.6,Thailand,enterprise,referral,2024-09-23
CUST-00040,57,42000,41.3,Vietnam,starter,event,2024-09-26
CUST-00041,58,43750,43.0,Singapore,growth,organic,2024-09-29
CUST-00042,59,45500,44.7,Malaysia,enterprise,ads,2024-10-02
CUST-00043,60,47250,46.4,Indonesia,starter,referral,2024-10-05
CUST-00044,61,49000,48.1,Thailand,growth,event,2024-10-08
CUST-00045,62,50750,49.8,Vietnam,enterprise,organic,2024-10-11
CUST-00046,63,52500,51.5,Singapore,starter,ads,2024-10-14
CUST-00047,64,54250,53.2,Malaysia,growth,referral,2024-10-17
CUST-00048,18,56000,54.9,Indonesia,enterprise,event,2024-10-20
CUST-00049,19,57750,56.6,Thailand,starter,organic,2024-10-23
CUST-00050,20,59500,58.3,Vietnam,growth,ads,2024-10-26
CUST-00051,21,61250,60.0,Singapore,enterprise,referral,2024-10-29
CUST-00052,22,63000,61.7,Malaysia,starter,event,2024-11-01
CUST-00053,23,64750,63.4,Indonesia,growth,organic,2024-11-04
CUST-00054,24,66500,65.1,Thailand,enterprise,ads,2024-11-07
CUST-00055,25,68250,66.8,Vietnam,starter,referral,2024-11-10
CUST-00056,26,70000,68.5,Singapore,growth,event,2024-11-13
CUST-00057,27,71750,70.2,Malaysia,enterprise,organic,2024-11-16
CUST-00058,28,73500,71.9,Indonesia,starter,ads,2024-11-19
CUST-00059,29,75250,73.6,Thailand,growth,referral,2024-11-22
CUST-00060,30,77000,75.3,Vietnam,enterprise,event,2024-11-25
