customer_id,age,annual_income,loyalty_score,country,segment,acquisition_channel,signup_date
CUST-00001,18.0,28000.0,35.0,Singapore,starter,organic,2024-06-01
CUST-00002,19.0,29750.0,36.7,Malaysia,growth,ads,2024-06-04
CUST-00003,20.0,31500.0,38.4,Indonesia,enterprise,referral,2024-06-07
CUST-00004,21.0,33250.0,40.1,,starter,event,2024-06-10
CUST-00005,22.0,35000.0,41.8,Vietnam,,organic,2024-06-13
CUST-00006,23.0,36750.0,43.5,Singapore,enterprise,ads,2024-06-16
CUST-00007,24.0,38500.0,45.2,Malaysia,starter,referral,2024-06-19
CUST-00008,25.0,40250.0,46.9,Indonesia,growth,event,2024-06-22
CUST-00009,26.0,42000.0,48.6,Thailand,,organic,2024-06-25
CUST-00010,27.0,43750.0,50.3,Vietnam,starter,ads,2024-06-28
CUST-00011,28.0,45500.0,52.0,Singapore,growth,referral,2024-07-01
CUST-00012,29.0,,53.7,Malaysia,enterprise,event,2024-07-04
CUST-00013,30.0,49000.0,,Indonesia,starter,organic,2024-07-07
CUST-00014,31.0,50750.0,57.1,Thailand,growth,ads,2024-07-10
CUST-00015,32.0,52500.0,58.8,Vietnam,enterprise,referral,2024-07-13
CUST-00016,33.0,54250.0,60.5,Singapore,starter,event,2024-07-16
CUST-00017,34.0,56000.0,62.2,Malaysia,growth,organic,2024-07-19
CUST-00018,35.0,57750.0,63.9,,enterprise,ads,2024-07-22
CUST-00019,36.0,59500.0,65.6,Thailand,,referral,2024-07-25
CUST-00020,37.0,61250.0,67.3,Vietnam,growth,event,2024-07-28
CUST-00021,,63000.0,69.0,Singapore,enterprise,organic,2024-07-31
CUST-00022,39.0,64750.0,70.7,Malaysia,,ads,2024-08-03
CUST-00023,40.0,66500.0,72.4,Indonesia,growth,referral,2024-08-06
CUST-00024,41.0,68250.0,74.1,Thailand,enterprise,event,2024-08-09
CUST-00025,42.0,70000.0,,Vietnam,starter,organic,2024-08-12
CUST-00026,43.0,71750.0,77.5,Singapore,growth,ads,2024-08-15
CUST-00027,44.0,73500.0,79.2,Malaysia,enterprise,referral,2024-08-18
CUST-00028,45.0,75250.0,80.9,,starter,event,2024-08-21
CUST-00029,46.0,77000.0,82.6,Thailand,growth,organic,
CUST-00030,47.0,78750.0,84.3,Vietnam,enterprise,ads,2024-08-27
CUST-00031,48.0,80500.0,86.0,Singapore,starter,referral,2024-08-30
CUST-00032,49.0,28000.0,87.7,Malaysia,growth,event,2024-09-02
CUST-00033,50.0,29750.0,89.4,Indonesia,enterprise,organic,2024-09-05
CUST-00034,51.0,31500.0,91.1,Thailand,starter,ads,2024-09-08
CUST-00035,52.0,33250.0,92.8,Vietnam,growth,referral,2024-09-11
CUST-00036,53.0,35000.0,,,enterprise,event,2024-09-14
CUST-00037,54.0,36750.0,36.2,Malaysia,starter,organic,2024-09-17
CUST-00038,55.0,38500.0,37.9,Indonesia,growth,ads,2024-09-20
CUST-00039,56.0,40250.0,39.6,Thailand,enterprise,referral,2024-09-23
CUST-00040,57.0,42000.0,41.3,Vietnam,starter,event,2024-09-26
CUST-00041,58.0,43750.0,43.0,Singapore,growth,organic,2024-09-29
CUST-00042,59.0,45500.0,44.7,Malaysia,enterprise,ads,
CUST-00043,60.0,47250.0,46.4,Indonesia,starter,referral,2024-10-05
CUST-00044,61.0,49000.0,48.1,Thailand,growth,event,2024-10-08
CUST-00045,62.0,50750.0,49.8,Vietnam,enterprise,organic,2024-10-11
CUST-00046,63.0,52500.0,51.5,Singapore,starter,ads,2024-10-14
CUST-00047,64.0,54250.0,53.2,Malaysia,growth,referral,2024-10-17
CUST-00048,18.0,56000.0,54.9,Indonesia,enterprise,event,2024-10-20
CUST-00049,19.0,57750.0,56.6,Thailand,starter,organic,2024-10-23
CUST-00050,20.0,59500.0,58.3,Vietnam,growth,ads,2024-10-26
CUST-00051,21.0,61250.0,60.0,Singapore,enterprise,referral,2024-10-29
CUST-00052,22.0,,61.7,Malaysia,starter,event,2024-11-01
CUST-00053,23.0,64750.0,63.4,Indonesia,growth,organic,2024-11-04
CUST-00054,24.0,66500.0,65.1,Thailand,enterprise,ads,2024-11-07
CUST-00055,25.0,68250.0,66.8,Vietnam,starter,referral,2024-11-10
CUST-00056,26.0,70000.0,68.5,Singapore,growth,event,2024-11-13
CUST-00057,27.0,71750.0,70.2,Malaysia,enterprise,organic,2024-11-16
CUST-00058,28.0,73500.0,71.9,Indonesia,starter,ads,2024-11-19
CUST-00059,29.0,75250.0,73.6,Thailand,,referral,2024-11-22
CUST-00060,30.0,77000.0,75.3,Vietnam,enterprise,event,2024-11-25
CUST-00009,26.0,42000.0,48.6,Thailand,,organic,2024-06-25
CUST-00049,19.0,57750.0,56.6,Thailand,starter,organic,2024-10-23
