age,score,city,signup_date
20,50.0,Singapore,2025-01-01
21,50.75,Kuala Lumpur,2025-01-02
22,51.5,Jakarta,2025-01-03
23,52.25,Bangkok,2025-01-04
24,53.0,Singapore,2025-01-05
25,53.75,Kuala Lumpur,2025-01-06
26,54.5,Jakarta,2025-01-07
27,55.25,Bangkok,2025-01-08
28,56.0,Singapore,2025-01-09
29,56.75,Kuala Lumpur,2025-01-10
30,57.5,Jakarta,2025-01-11
31,58.25,Bangkok,2025-01-12
32,59.0,Singapore,2025-01-13
33,59.75,Kuala Lumpur,2025-01-14
34,60.5,Jakarta,2025-01-15
35,61.25,Bangkok,2025-01-16
36,62.0,Singapore,2025-01-17
37,62.75,Kuala Lumpur,2025-01-18
38,63.5,Jakarta,2025-01-19
39,64.25,Bangkok,2025-01-20
40,65.0,Singapore,2025-01-21
41,65.75,Kuala Lumpur,2025-01-22
42,66.5,Jakarta,2025-01-23
43,67.25,Bangkok,2025-01-24
44,68.0,Singapore,2025-01-25
45,68.75,Kuala Lumpur,2025-01-26
46,69.5,Jakarta,2025-01-27
47,70.25,Bangkok,2025-01-28
48,71.0,Singapore,2025-01-29
49,71.75,Kuala Lumpur,2025-01-30
50,72.5,Jakarta,2025-01-31
51,73.25,Bangkok,2025-02-01
52,74.0,Singapore,2025-02-02
53,74.75,Kuala Lumpur,2025-02-03
54,75.5,Jakarta,2025-02-04
20,76.25,Bangkok,2025-02-05
21,77.0,Singapore,2025-02-06
22,77.75,Kuala Lumpur,2025-02-07
23,78.5,Jakarta,2025-02-08
24,79.25,Bangkok,2025-02-09
25,80.0,Singapore,2025-02-10
26,80.75,Kuala Lumpur,2025-02-11
27,81.5,Jakarta,2025-02-12
28,82.25,Bangkok,2025-02-13
29,83.0,Singapore,2025-02-14
30,83.75,Kuala Lumpur,2025-02-15
31,84.5,Jakarta,2025-02-16
32,85.25,Bangkok,2025-02-17
33,86.0,Singapore,2025-02-18
34,86.75,Kuala Lumpur,2025-02-19
35,87.5,Jakarta,2025-02-20
36,88.25,Bangkok,2025-02-21
37,89.0,Singapore,2025-02-22
38,89.75,Kuala Lumpur,2025-02-23
39,90.5,Jakarta,2025-02-24
40,91.25,Bangkok,2025-02-25
41,92.0,Singapore,2025-02-26
42,92.75,Kuala Lumpur,2025-02-27
43,93.5,Jakarta,2025-02-28
44,94.25,Bangkok,2025-03-01
