age,score,city,signup_date
20.0,50.0,Singapore,2025-01-01
21.0,50.75,Kuala Lumpur,2025-01-02
22.0,51.5,Jakarta,2025-01-03
23.0,52.25,Bangkok,2025-01-04
24.0,53.0,,2025-01-05
25.0,53.75,Kuala Lumpur,2025-01-06
26.0,,Jakarta,2025-01-07
27.0,55.25,Bangkok,2025-01-08
28.0,56.0,Singapore,2025-01-09
29.0,56.75,Kuala Lumpur,2025-01-10
,57.5,,2025-01-11
31.0,58.25,Bangkok,2025-01-12
32.0,59.0,Singapore,2025-01-13
33.0,59.75,Kuala Lumpur,2025-01-14
34.0,60.5,Jakarta,
35.0,61.25,Bangkok,2025-01-16
36.0,62.0,Singapore,2025-01-17
37.0,62.75,Kuala Lumpur,2025-01-18
38.0,63.5,Jakarta,2025-01-19
39.0,64.25,Bangkok,2025-01-20
40.0,65.0,Singapore,2025-01-21
41.0,65.75,Kuala Lumpur,2025-01-22
42.0,66.5,Jakarta,2025-01-23
43.0,67.25,Bangkok,2025-01-24
44.0,68.0,Singapore,2025-01-25
45.0,68.75,Kuala Lumpur,2025-01-26
46.0,69.5,Jakarta,2025-01-27
47.0,70.25,Bangkok,2025-01-28
48.0,71.0,Singapore,2025-01-29
49.0,71.75,Kuala Lumpur,2025-01-30
50.0,72.5,Jakarta,2025-01-31
51.0,73.25,Bangkok,2025-02-01
52.0,74.0,Singapore,2025-02-02
53.0,74.75,Kuala Lumpur,2025-02-03
54.0,75.5,Jakarta,2025-02-04
20.0,76.25,Bangkok,2025-02-05
21.0,77.0,Singapore,
22.0,77.75,Kuala Lumpur,2025-02-07
23.0,,Jakarta,2025-02-08
24.0,79.25,Bangkok,2025-02-09
25.0,80.0,Singapore,2025-02-10
26.0,80.75,Kuala Lumpur,2025-02-11
27.0,81.5,Jakarta,2025-02-12
28.0,,Bangkok,2025-02-13
29.0,83.0,Singapore,2025-02-14
30.0,83.75,Kuala Lumpur,2025-02-15
31.0,84.5,Jakarta,2025-02-16
32.0,,Bangkok,
33.0,86.0,Singapore,2025-02-18
34.0,86.75,Kuala Lumpur,2025-02-19
35.0,87.5,Jakarta,2025-02-20
36.0,88.25,Bangkok,2025-02-21
37.0,89.0,Singapore,2025-02-22
38.0,89.75,Kuala Lumpur,2025-02-23
39.0,90.5,Jakarta,2025-02-24
40.0,91.25,Bangkok,2025-02-25
41.0,92.0,Singapore,2025-02-26
42.0,92.75,Kuala Lumpur,2025-02-27
43.0,93.5,Jakarta,2025-02-28
44.0,94.25,Bangkok,2025-03-01
43.0,93.5,Jakarta,2025-02-28
35.0,87.5,Jakarta,2025-02-20
