order_id,quantity,unit_price,discount_rate,region,channel,category,order_date
ORD-00001,1,19.99,0.0,APAC,online,hardware,2025-03-01
ORD-00002,2,24.74,0.03,EMEA,retail,software,2025-03-02
ORD-00003,3,29.49,0.06,North America,partner,service,2025-03-03
ORD-00004,4,34.24,0.09,LATAM,online,subscription,2025-03-04
ORD-00005,5,38.99,0.12,APAC,retail,hardware,2025-03-05
ORD-00006,6,43.74,0.0,EMEA,partner,software,2025-03-06
ORD-00007,7,48.49,0.03,North America,online,service,2025-03-07
ORD-00008,1,53.24,0.06,LATAM,retail,subscription,2025-03-08
ORD-00009,2,57.99,0.09,APAC,partner,hardware,2025-03-09
ORD-00010,3,62.74,0.12,EMEA,online,software,2025-03-10
ORD-00011,4,67.49,0.0,North America,retail,service,2025-03-11
ORD-00012,5,72.24,0.03,LATAM,partner,subscription,2025-03-12
ORD-00013,6,76.99,0.06,APAC,online,hardware,2025-03-13
ORD-00014,7,19.99,0.09,EMEA,retail,software,2025-03-14
ORD-00015,1,24.74,0.12,North America,partner,service,2025-03-15
ORD-00016,2,29.49,0.0,LATAM,online,subscription,2025-03-16
ORD-00017,3,34.24,0.03,APAC,retail,hardware,2025-03-17
ORD-00018,4,38.99,0.06,EMEA,partner,software,2025-03-18
ORD-00019,5,43.74,0.09,North America,online,service,2025-03-19
ORD-00020,6,48.49,0.12,LATAM,retail,subscription,2025-03-20
ORD-00021,7,53.24,0.0,APAC,partner,hardware,2025-03-21
ORD-00022,1,57.99,0.03,EMEA,online,software,2025-03-22
ORD-00023,2,62.74,0.06,North America,retail,service,2025-03-23
ORD-00024,3,67.49,0.09,LATAM,partner,subscription,2025-03-24
ORD-00025,4,72.24,0.12,APAC,online,hardware,2025-03-25
ORD-00026,5,76.99,0.0,EMEA,retail,software,2025-03-26
ORD-00027,6,19.99,0.03,North America,partner,service,2025-03-27
ORD-00028,7,24.74,0.06,LATAM,online,subscription,2025-03-28
ORD-00029,1,29.49,0.09,APAC,retail,hardware,2025-03-29
ORD-00030,2,34.24,0.12,EMEA,partner,software,2025-03-30
ORD-00031,3,38.99,0.0,North America,online,service,2025-03-31
ORD-00032,4,43.74,0.03,LATAM,retail,subscription,2025-04-01
ORD-00033,5,48.49,0.06,APAC,partner,hardware,2025-04-02
ORD-00034,6,53.24,0.09,EMEA,online,software,2025-04-03
ORD-00035,7,57.99,0.12,North America,retail,service,2025-04-04
ORD-00036,1,62.74,0.0,LATAM,partner,subscription,2025-04-05
ORD-00037,2,67.49,0.03,APAC,online,hardware,2025-04-06
ORD-00038,3,72.24,0.06,EMEA,retail,software,2025-04-07
ORD-00039,4,76.99,0.09,North America,partner,service,2025-04-08
ORD-00040,5,19.99,0.12,LATAM,online,subscription,2025-04-09
ORD-00041,6,24.74,0.0,APAC,retail,hardware,2025-04-10
ORD-00042,7,29.49,0.03,EMEA,partner,software,2025-04-11
ORD-00043,1,34.24,0.06,North America,online,service,2025-04-12
ORD-00044,2,38.99,0.09,LATAM,retail,subscription,2025-04-13
ORD-00045,3,43.74,0.12,APAC,partner,hardware,2025-04-14
ORD-00046,4,48.49,0.0,EMEA,online,software,2025-04-15
ORD-00047,5,53.24,0.03,North America,retail,service,2025-04-16
ORD-00048,6,57.99,0.06,LATAM,partner,subscription,2025-04-17
ORD-00049,7,62.74,0.09,APAC,online,hardware,2025-04-18
ORD-00050,1,67.49,0.12,EMEA,retail,software,2025-04-19
ORD-00051,2,72.24,0.0,North America,partner,service,2025-04-20
ORD-00052,3,76.99,0.03,LATAM,online,subscription,2025-04-21
ORD-00053,4,19.99,0.06,APAC,retail,hardware,2025-04-22
ORD-00054,5,24.74,0.09,EMEA,partner,software,2025-04-23
ORD-00055,6,29.49,0.12,North America,online,service,2025-04-24
ORD-00056,7,34.24,0.0,LATAM,retail,subscription,2025-04-25
ORD-00057,1,38.99,0.03,APAC,partner,hardware,2025-04-26
ORD-00058,2,43.74,0.06,EMEA,online,software,2025-04-27
ORD-00059,3,48.49,0.09,North America,retail,service,2025-04-28
ORD-00060,4,53.24,0.12,LATAM,partner,subscription,2025-04-29
