student_id,attendance_rate,exam_score,credits_completed,major,campus,cohort,enrollment_date
STU-00001,0.55,48.0,12.0,Computer Science,main,2023A,2023-08-15
STU-00002,0.62,50.3,15.0,Data Science,city,2023B,2023-08-22
STU-00003,0.69,52.6,18.0,Business,online,2024A,2023-08-29
STU-00004,0.76,54.9,21.0,,main,2024B,2023-09-05
STU-00005,0.83,57.2,24.0,Computer Science,,2023A,2023-09-12
STU-00006,0.9,59.5,27.0,Data Science,online,2023B,2023-09-19
STU-00007,0.97,61.8,30.0,Business,main,2024A,2023-09-26
STU-00008,0.59,64.1,33.0,Psychology,city,2024B,2023-10-03
STU-00009,0.66,66.4,36.0,Computer Science,,2023A,2023-10-10
STU-00010,0.73,68.7,39.0,Data Science,main,2023B,2023-10-17
STU-00011,0.8,71.0,12.0,Business,city,2024A,2023-10-24
STU-00012,0.87,,15.0,Psychology,online,2024B,2023-10-31
STU-00013,0.94,75.6,,Computer Science,main,2023A,2023-11-07
STU-00014,0.56,77.9,21.0,Data Science,city,2023B,2023-11-14
STU-00015,0.63,80.2,24.0,Business,online,2024A,2023-11-21
STU-00016,0.7,82.5,27.0,Psychology,main,2024B,2023-11-28
STU-00017,0.77,84.8,30.0,Computer Science,city,2023A,2023-12-05
STU-00018,0.84,87.1,33.0,,online,2023B,2023-12-12
STU-00019,0.91,89.4,36.0,Business,,2024A,2023-12-19
STU-00020,0.98,91.7,39.0,Psychology,city,2024B,2023-12-26
STU-00021,,94.0,12.0,Computer Science,online,2023A,2024-01-02
STU-00022,0.67,96.3,15.0,Data Science,,2023B,2024-01-09
STU-00023,0.74,48.6,18.0,Business,city,2024A,2024-01-16
STU-00024,0.81,50.9,21.0,Psychology,online,2024B,2024-01-23
STU-00025,0.88,53.2,,Computer Science,main,2023A,2024-01-30
STU-00026,0.95,55.5,27.0,Data Science,city,2023B,2024-02-06
STU-00027,0.57,57.8,30.0,Business,online,2024A,2024-02-13
STU-00028,0.64,60.1,33.0,,main,2024B,2024-02-20
STU-00029,0.71,62.4,36.0,Computer Science,city,2023A,
STU-00030,0.78,64.7,39.0,Data Science,online,2023B,2024-03-05
STU-00031,0.85,67.0,12.0,Business,main,2024A,2024-03-12
STU-00032,0.92,69.3,15.0,Psychology,city,2024B,2024-03-19
STU-00033,0.99,71.6,18.0,Computer Science,online,2023A,2024-03-26
STU-00034,0.61,73.9,21.0,Data Science,main,2023B,2024-04-02
STU-00035,0.68,76.2,24.0,Business,city,2024A,2024-04-09
STU-00036,0.75,78.5,,,online,2024B,2024-04-16
STU-00037,0.82,80.8,30.0,Computer Science,main,2023A,2024-04-23
STU-00038,0.89,83.1,33.0,Data Science,city,2023B,2024-04-30
STU-00039,0.96,85.4,36.0,Business,online,2024A,2024-05-07
STU-00040,0.58,87.7,39.0,Psychology,main,2024B,2024-05-14
STU-00041,0.65,90.0,12.0,Computer Science,city,2023A,2024-05-21
STU-00042,0.72,92.3,15.0,Data Science,online,2023B,
STU-00043,0.79,94.6,18.0,Business,main,2024A,2024-06-04
STU-00044,0.86,96.9,21.0,Psychology,city,2024B,2024-06-11
STU-00045,0.93,49.2,24.0,Computer Science,online,2023A,2024-06-18
STU-00046,0.55,51.5,27.0,Data Science,main,2023B,2024-06-25
STU-00047,0.62,53.8,30.0,Business,city,2024A,2024-07-02
STU-00048,0.69,56.1,33.0,Psychology,online,2024B,2024-07-09
STU-00049,0.76,58.4,36.0,Computer Science,main,2023A,2024-07-16
STU-00050,0.83,60.7,39.0,Data Science,city,2023B,2024-07-23
STU-00051,0.9,63.0,12.0,Business,online,2024A,2024-07-30
STU-00052,0.97,,15.0,Psychology,main,2024B,2024-08-06
STU-00053,0.59,67.6,18.0,Computer Science,city,2023A,2024-08-13
STU-00054,0.66,69.9,21.0,Data Science,online,2023B,2024-08-20
STU-00055,0.73,72.2,24.0,Business,main,2024A,2024-08-27
STU-00056,0.8,74.5,27.0,Psychology,city,2024B,2024-09-03
STU-00057,0.87,76.8,30.0,Computer Science,online,2023A,2024-09-10
STU-00058,0.94,79.1,33.0,Data Science,main,2023B,2024-09-17
STU-00059,0.56,81.4,36.0,Business,,2024A,2024-09-24
STU-00060,0.63,83.7,39.0,Psychology,online,2024B,2024-10-01
STU-00009,0.66,66.4,36.0,Computer Science,,2023A,2023-10-10
STU-00049,0.76,58.4,36.0,Computer Science,main,2023A,2024-07-16
